,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046
F001,,0.04268815044672939,0.04800034684869595,0.03100211029657683,0.33049516363230946,0.2734699359476494,0.3266359918752821,,-0.3133156946557419,0.133781105337885,0.3220497686859319,,-0.031116704143472822,0.10087995859163044,0.07630005329781234,-0.01705490416957624,0.15818807436126767,0.4941337270453212,0.18366950383314212,0.11358859179531565,0.277578357595369,0.07363376059851169,0.2308381611652591,,0.2813604258055538,0.18823903566534025,,0.07327734254108487,0.20620819205821264,,-0.21711257253982844,0.07918916544048321,0.09130540969459264,,0.1273470486107766,0.18419169682342812,,0.029141163355054952,0.17262592836940732,0.033966484049641844,0.24972258653315554,0.34251234650487583,,-0.1446374165315715,,0.314130895407434
F002,0.04268815044672939,,0.035155077403838816,0.008738026936718825,0.07343296396294587,0.12248434339902574,0.012187147818097932,0.058061645737458874,-0.019675368516821105,0.10285915416716157,0.021715115898627728,0.046398893097797135,-0.00031123238686332836,0.29096826519768787,0.02130497261372695,0.010394449480593239,0.13617368678529052,0.0713090916787149,0.16003792631889718,0.01413595231245387,0.017522009170048564,0.011908330728730415,0.13002056674672358,0.04297665775478914,0.030225706756398407,0.12769855045075126,0.04696711969706365,,0.05406438538962879,0.04911566029217369,-0.0054185605526600455,0.02750412640193461,0.35657144502430516,0.035460444084719205,0.01111398463655516,0.1316866861020475,0.06723011627607012,0.1965234455476366,0.19996164525109433,-0.0061095329403458975,0.1791069796711817,0.06800844853081871,0.04440788082381189,-0.023924697230634628,0.04508449506287066,0.05145070686139449
F003,0.04800034684869595,0.035155077403838816,,0.011213259763354182,0.03658859444995708,0.32709143145852954,0.1568162059214245,0.02611122569223068,,0.06225813400319829,0.14020601530657043,0.0490249215939528,-0.014198757306953393,0.14618461546616202,-0.021440872130623952,0.006232003605969767,0.30257367244006905,0.04048176680538412,0.04296711406806292,-0.02062989839860856,0.20548955241329775,-0.006272491640982518,0.3183235234496858,0.04133958643772535,0.10365549150257886,0.11878761704668431,0.03617914130301581,0.1791454588982026,0.025094073422106296,0.04396161153592232,-0.08155320098352967,-0.012292765010280872,0.15497503578350247,0.04588643046645432,-0.023779916045511034,0.3098030450348296,0.04026322795079958,-0.1707735195743206,0.12291463682256555,0.019084156964628653,0.14973209228349113,0.11463374124317134,0.05087970719951888,-0.00018841175385039794,0.04590395566911271,0.019861875964174786
F004,0.03100211029657683,0.008738026936718825,0.011213259763354182,,0.03330847297971202,0.0180657796404997,0.06177042094300015,0.030125688267290254,-0.006730678139826023,0.027081952569269,0.056889398605548404,0.033426231925242904,-0.02375914869243051,0.012663667133904374,0.02025912910996961,-0.0029466355383807605,0.017343915950137567,0.034317369760133304,0.0322502168795681,0.0019268183479421114,0.07308727317050012,0.01709981268357324,0.020416726884129897,0.030633186584766593,0.03970378697419742,0.025940241909584924,0.03545077656504432,0.015735192894232062,0.020492178185208428,0.0387982525466268,-0.042714268224892306,0.005541679769339961,0.01705816542375651,0.029135108456554645,0.004212278466342411,0.021744739261533863,0.033344124775365955,0.006481745891602288,0.021350117480339194,0.07225103005420143,0.018122831805085057,0.023360469181257133,0.03456207472000685,-0.008836747250170189,0.035021498195241266,0.02736394116129519
F005,0.33049516363230946,0.07343296396294587,0.03658859444995708,0.03330847297971202,,0.06533529416004194,0.20468932001984882,,-0.1152685548579211,0.13655376209516276,0.23453786270440402,0.33907217498101844,-0.014588079653913198,0.0368744734107459,0.14987466172015726,0.08986977515504503,0.04340657619537458,,0.1693074343285409,0.050594567850761024,0.12337093930006482,0.20893826485899716,0.07082746218728624,0.37485385702420354,0.27270004606568715,0.1466142842905039,0.42643896794275304,0.04597680314447993,,0.4369781574796678,-0.09286714307855014,0.11569088874342436,0.04499499650205434,0.09975683739323087,0.032981527354753175,0.0708336506757791,,-0.009009911200347137,0.15057366265867872,0.012978612048613272,0.12587776857848074,0.32518942051736033,0.32709577289077013,-0.3008314570081652,0.38262759059535717,
F006,0.2734699359476494,0.12248434339902574,0.32709143145852954,0.0180657796404997,0.06533529416004194,,0.17715686956166396,0.17212403879003843,-0.23413660939431288,0.29420668956605917,0.16911018141579268,0.29507900402045506,-0.03487060007824477,0.4989749912067144,-0.0009983733481268543,0.005072515402541028,,0.18348712731241887,0.3319814096433185,0.08913200376560551,0.2028855807763773,-0.012758356304150117,,0.2378989443974264,0.13376853819787488,0.4026955688023395,0.21899261962138533,,0.0316545680679224,0.24494229727313815,-0.1257814467663859,0.052008111613358735,,0.29844751095880656,0.096126081097817,,0.19857448501839947,0.1203525280295093,0.39472038212716143,-0.04664575203029037,,0.13870171103506296,0.2970261210415923,-0.03179179595740556,0.25882966165617416,0.05704395977979986
F007,0.3266359918752821,0.012187147818097932,0.1568162059214245,0.06177042094300015,0.20468932001984882,0.17715686956166396,,0.19371998654560013,-0.3112254830361195,0.03449429532463256,,0.4265265713953538,-0.12959910204295386,0.07887126887585466,0.0006248810833746028,-0.06855070988784996,0.14670536637474169,0.34125961786538894,0.026103299657716354,-0.06652213298607675,,-0.0019830353560766805,0.16475778896682514,0.32119618867779487,,0.05917149319495177,0.28597752405777466,0.07536193036222578,0.14585387924795154,0.4020299808914502,-0.31267421639381454,-0.03630876686131893,0.07468066481079082,0.39425782552054023,-0.07311344163849191,0.1538724463129635,0.3299947558777515,-0.03824853527058225,0.05242595714469619,-0.0045672135000656144,0.07935813302309234,0.1295370328407067,0.3969740158071908,-0.0027113785249900844,0.4310603143368301,0.08682109269608332
F008,,0.058061645737458874,0.02611122569223068,0.030125688267290254,,0.17212403879003843,0.19371998654560013,,-0.16642901697732754,0.15823462822136475,0.21357539103902967,0.44879589155794275,-0.003286593875526672,0.08399092857694009,0.12883907096706165,0.09210915284498858,0.0643020002190853,,0.20866163960789055,0.19800202383503945,0.08225572087700166,0.14517613854462294,0.1504548952801283,,0.20888750095597117,0.18745784912800809,,0.03545973801820102,0.36901773518442776,,-0.1286217351967662,0.15712672961051427,0.08243114552850411,0.3391642934318169,0.1830820535347472,0.10023899212450565,,0.011278322953448394,0.1890170290150139,0.010632881905038407,0.2509727463405432,0.4687223619657045,0.4478122781139026,-0.3457231860197278,,
F009,-0.3133156946557419,-0.019675368516821105,,-0.006730678139826023,-0.1152685548579211,-0.23413660939431288,-0.3112254830361195,-0.16642901697732754,,-0.027636510084615536,-0.295001431965817,-0.2836360215667925,0.061049533213876093,-0.09991062188928873,0.038094628994028816,-0.0039878224933447655,-0.23515668807715698,-0.16364801782499552,-0.0026159336289178327,-0.06115014786232864,-0.37390325773481714,-0.005644468853670665,-0.2330017295813682,-0.2790033667686435,-0.22798736594414906,-0.05976627829723454,-0.22936060309769934,-0.14253293553038196,-0.07446032342805171,-0.21787734358312266,0.3788695810354104,-0.04346041669331011,-0.10858741763803763,-0.2867087373806161,-0.06831812981014936,-0.23345994388802235,-0.17019451611668754,-0.052207216178802966,-0.05871312646064353,0.2069882891244315,-0.0784606960967364,-0.10581826087784964,-0.2761450679749547,0.07452374367838116,-0.2589553038117555,-0.11049026721514285
F010,0.133781105337885,0.10285915416716157,0.06225813400319829,0.027081952569269,0.13655376209516276,0.29420668956605917,0.03449429532463256,0.15823462822136475,-0.027636510084615536,,0.036626527261418844,0.13691924716645348,0.006364817260893545,0.1853626021915536,0.021444317198091194,0.029157078893321725,0.21286369010994757,0.17567286470048546,,0.06456487535058167,0.022063606424710686,0.00644388624944275,0.32299631161475184,0.13040544284008615,0.0388405049283476,,0.14853579833536576,0.09034792882923737,0.0690961300472752,0.14769913471580418,-0.019473724174089248,0.07071531113827685,0.2225108955236657,0.10822134961667267,0.05573633644103401,0.35629061726791544,0.1756709411446946,0.16042499982478578,,0.004531292951107171,,0.18350194907501843,0.13154150423706815,-0.06367805645596661,0.1310176487937093,0.10585919152644319
F011,0.3220497686859319,0.021715115898627728,0.14020601530657043,0.056889398605548404,0.23453786270440402,0.16911018141579268,,0.21357539103902967,-0.295001431965817,0.036626527261418844,,0.4224345862031604,-0.1208736260149201,0.07851072226225907,0.017797608025435573,-0.07804973308452401,0.1425326934754701,0.37341334017073013,0.027505520057825056,-0.06612211151042663,,0.0045605174234896245,0.17046331152654756,0.32091605927219485,,0.05881993908478502,0.2923004302412654,0.07852153244025213,0.1673414073811353,0.4029928901660586,-0.29073613895866474,-0.04134351637303283,0.08359108313716065,0.3765226687454065,-0.06397575470840833,0.15248205061833858,0.34922366724883086,-0.037747985116332115,0.056368683038587206,-0.005688122388902388,0.09427371096417875,0.14251329263321977,0.3866625083139862,-0.00896450349402107,0.42871378930976684,0.1090902141326069
